Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.976476,0.974720,0.976879,0.977561,0.973670,0.974156,0.979771,0.976524,0.978958,0.973262,0.975498,0.977524,0.978312,0.978547,0.977191,0.976578,0.975098
0.975548,0.975484,0.976794,0.977237,0.973737,0.973025,0.977309,0.975472,0.977343,0.973637,0.973688,0.977593,0.979124,0.978241,0.975787,0.976270,0.974791
0.974905,0.974004,0.974838,0.977075,0.973903,0.973410,0.978364,0.974531,0.976670,0.975232,0.972954,0.976519,0.978460,0.978722,0.975729,0.974820,0.975713
0.975084,0.974004,0.974753,0.978087,0.973637,0.974383,0.976869,0.975361,0.977567,0.976358,0.974568,0.976935,0.978607,0.978679,0.975959,0.976797,0.973100
0.974870,0.975410,0.977729,0.977399,0.972905,0.974451,0.974670,0.975749,0.977298,0.974575,0.974519,0.977939,0.978238,0.979248,0.975643,0.977281,0.977634
0.975941,0.973486,0.976284,0.977966,0.974103,0.974224,0.978980,0.973700,0.978106,0.974388,0.974275,0.976658,0.979714,0.977759,0.976904,0.977808,0.976635
0.976333,0.974300,0.974158,0.979060,0.973737,0.973930,0.978100,0.974088,0.978465,0.972887,0.973688,0.976935,0.977648,0.978109,0.977649,0.977764,0.975713
0.976191,0.973610,0.975944,0.976508,0.972605,0.973387,0.979420,0.974032,0.978061,0.968196,0.972661,0.976658,0.978238,0.976840,0.976417,0.976314,0.975482
0.974370,0.972500,0.974584,0.976386,0.971074,0.971577,0.976253,0.971818,0.975504,0.968571,0.971878,0.975446,0.977648,0.975570,0.976904,0.975787,0.974560
0.975084,0.971883,0.973733,0.974321,0.970308,0.970264,0.975374,0.971042,0.974876,0.970166,0.971585,0.974199,0.975878,0.975045,0.977019,0.975830,0.973023
0.974406,0.971587,0.973903,0.973632,0.969709,0.969993,0.975726,0.971541,0.974247,0.971855,0.969189,0.974719,0.977206,0.973162,0.981575,0.974380,0.973100
0.974370,0.971859,0.975349,0.975050,0.971573,0.970943,0.977748,0.970655,0.975549,0.971386,0.971585,0.974234,0.975435,0.976052,0.979913,0.975303,0.973330
0.973299,0.970601,0.971948,0.973592,0.971340,0.971848,0.977133,0.971818,0.975818,0.971479,0.970509,0.974788,0.977132,0.974826,0.977878,0.974908,0.973177
0.973085,0.971069,0.974243,0.973146,0.970874,0.971215,0.973967,0.971818,0.974203,0.972418,0.971585,0.974061,0.976025,0.974213,0.974870,0.973941,0.972562
0.974191,0.971612,0.973393,0.973308,0.970508,0.971690,0.975022,0.970987,0.973754,0.971855,0.970900,0.972745,0.975952,0.974125,0.972491,0.974908,0.973484
0.974548,0.970847,0.973223,0.974078,0.971074,0.971644,0.975198,0.971984,0.973395,0.969603,0.971927,0.974580,0.976542,0.974607,0.972835,0.974820,0.973868
0.974013,0.970847,0.974413,0.974078,0.970408,0.972527,0.975110,0.972814,0.975459,0.969228,0.970900,0.974026,0.974402,0.975045,0.972663,0.973106,0.975713
0.974834,0.970921,0.972033,0.973916,0.970708,0.971124,0.972735,0.971319,0.973260,0.968477,0.970705,0.973299,0.976911,0.974432,0.970887,0.974161,0.973330
0.973977,0.969737,0.973138,0.972741,0.970308,0.970649,0.971328,0.970932,0.971914,0.971479,0.967917,0.973506,0.973591,0.972462,0.969884,0.972667,0.973484
0.973121,0.969491,0.973903,0.973510,0.971273,0.970241,0.974670,0.970046,0.974382,0.968196,0.969286,0.973783,0.974771,0.974344,0.971001,0.973062,0.971255
0.974013,0.969713,0.972543,0.974685,0.971140,0.971486,0.975726,0.972814,0.974203,0.967258,0.971292,0.972745,0.975066,0.975001,0.972807,0.973897,0.972024
0.972121,0.969145,0.971438,0.972984,0.968644,0.969495,0.973703,0.971042,0.971735,0.968759,0.969824,0.974130,0.974107,0.974301,0.971574,0.972183,0.973561
0.970408,0.970181,0.971098,0.970918,0.968344,0.968771,0.973703,0.969492,0.970703,0.968665,0.968944,0.972121,0.971968,0.972900,0.969998,0.970953,0.973100
0.970015,0.968282,0.969313,0.971931,0.968378,0.968205,0.970888,0.968883,0.971600,0.970729,0.967819,0.972156,0.973001,0.972243,0.970514,0.971832,0.970640
0.970836,0.968455,0.971098,0.973024,0.969276,0.969268,0.972471,0.969935,0.972004,0.966601,0.969922,0.973126,0.972263,0.972593,0.972463,0.972359,0.968949
0.970229,0.969787,0.971183,0.971485,0.967179,0.968363,0.970800,0.969935,0.970838,0.969978,0.968113,0.972918,0.973739,0.973469,0.971660,0.972886,0.970256
0.970194,0.968356,0.969143,0.970554,0.966713,0.968612,0.970273,0.968828,0.972094,0.969509,0.967917,0.971048,0.972411,0.972943,0.970371,0.971348,0.971563
0.971586,0.969170,0.971013,0.971728,0.967479,0.969200,0.971504,0.969714,0.969312,0.972981,0.968259,0.971567,0.973739,0.972681,0.970199,0.970557,0.970487
0.970658,0.969515,0.969908,0.972376,0.967113,0.967232,0.972911,0.968496,0.970299,0.971010,0.968406,0.970528,0.973517,0.972724,0.970629,0.971172,0.970333
0.971835,0.968849,0.969908,0.972295,0.968677,0.968725,0.971856,0.969437,0.971825,0.968477,0.967966,0.972087,0.972189,0.972374,0.970199,0.973150,0.972485
0.971800,0.967863,0.970503,0.971404,0.967346,0.967820,0.969657,0.967720,0.971690,0.971667,0.968748,0.971013,0.973443,0.973731,0.970772,0.970997,0.970487
1.02017,0.995363,0.974584,0.983717,0.969043,0.969811,0.982410,0.972648,0.981202,0.968571,0.968553,0.971290,0.978976,0.977628,0.968766,0.974556,0.998540
1.05922,1.06746,1.02499,1.07112,0.973238,1.00602,1.01697,0.999225,1.03755,0.970635,0.985426,0.970078,1.00598,0.998774,0.966617,0.982818,1.05964
1.03073,1.05919,1.06290,1.09478,1.00506,1.03811,1.02832,1.00831,1.04733,0.991838,1.00342,0.974892,1.00494,1.00679,0.968766,0.985015,1.04304
1.02060,1.03907,1.05984,1.06193,1.06381,1.04273,1.02278,1.01074,1.03248,1.00629,1.01330,0.987844,1.00354,0.999431,0.975385,0.985103,1.02705
1.02381,1.03786,1.04157,1.04658,1.07849,1.03781,1.01829,1.00925,1.02521,1.00516,1.01697,1.00620,1.00730,0.995841,0.981116,0.985323,1.02890
1.02584,1.04030,1.03681,1.04698,1.06877,1.03055,1.01856,1.00897,1.02598,0.996153,1.01619,1.01718,1.00797,0.991156,0.989111,0.987652,1.03290
1.02841,1.04065,1.03434,1.04982,1.04624,1.02842,1.01873,1.00853,1.02728,0.983113,1.01678,1.01953,1.01136,0.981918,0.997306,0.987344,1.03635
1.02820,1.04003,1.03290,1.04909,1.02996,1.02962,1.02040,1.00493,1.02562,0.974482,1.01545,1.01648,1.00819,0.975614,1.00542,0.986026,1.03543
1.02438,1.03840,1.02822,1.04800,1.02220,1.02464,1.01636,1.00382,1.02315,0.971479,1.01012,1.01077,1.00657,0.972418,1.01092,0.985674,1.03412
1.02470,1.03497,1.02227,1.04241,1.01921,1.01353,1.01891,1.00000,1.02086,0.969509,1.00430,1.00409,1.00620,0.970535,1.01490,0.984268,1.03266
1.02302,1.02967,1.01335,1.03062,1.01075,0.999955,1.01557,0.993522,1.01808,0.966601,0.994474,0.997056,1.00221,0.968916,1.01527,0.983257,1.02874
1.02238,1.01958,1.00400,1.01442,0.998236,0.989409,1.01082,0.985161,1.01238,0.964725,0.985524,0.989680,0.998082,0.968127,1.01441,0.983081,1.02790
1.02056,1.00809,0.993880,0.999514,0.990047,0.984702,1.00185,0.978683,1.00211,0.967633,0.981366,0.984519,0.999115,0.969879,1.01040,0.981060,1.02552
1.01835,0.999186,0.986229,0.988416,0.985720,0.980945,0.992524,0.977576,0.994212,0.967914,0.977943,0.981714,0.994320,0.969528,1.00845,0.980049,1.02152
1.01474,0.993144,0.981384,0.983758,0.982025,0.979203,0.987247,0.975472,0.987931,0.967821,0.976182,0.978874,0.990705,0.970754,1.00579,0.976665,1.01399
1.00832,0.989937,0.980704,0.981490,0.981659,0.978524,0.983729,0.972814,0.983086,0.967633,0.975840,0.977108,0.988418,0.971499,1.00261,0.978335,1.00807
1.00275,0.986435,0.977049,0.978290,0.979096,0.976442,0.981882,0.973479,0.982727,0.966507,0.973884,0.977905,0.985246,0.972287,0.999255,0.974776,1.00108
0.996323,0.984634,0.978749,0.977318,0.977598,0.974586,0.980035,0.972094,0.977837,0.970635,0.971781,0.976346,0.983328,0.972243,0.997163,0.975083,0.995389
0.990576,0.982686,0.976539,0.976791,0.975900,0.973704,0.978628,0.970655,0.976984,0.968665,0.972514,0.975792,0.981484,0.971674,0.995673,0.973589,0.987780
0.985793,0.980047,0.978069,0.975981,0.974203,0.971712,0.977924,0.971042,0.976850,0.967914,0.972710,0.975654,0.980230,0.971717,0.994069,0.971875,0.986627
0.984436,0.978296,0.978154,0.976832,0.972805,0.972527,0.978628,0.971375,0.976087,0.965288,0.971194,0.974649,0.977648,0.970798,0.992808,0.972447,0.983476
0.981188,0.977211,0.975434,0.976994,0.973337,0.971622,0.976957,0.970101,0.974472,0.969885,0.970998,0.973264,0.978238,0.971367,0.991260,0.971304,0.982015
0.980403,0.977087,0.979174,0.976427,0.972638,0.971780,0.976693,0.969769,0.973664,0.970260,0.972367,0.973403,0.977206,0.971061,0.988997,0.971392,0.981170
