Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.983443,0.979261,0.980232,0.980785,0.978456,0.977211,0.977864,0.978236,0.978662,0.980764,0.978628,0.980558,0.981663,0.983298,0.981856,0.981667,0.981021
0.984278,0.979607,0.982140,0.984373,0.977771,0.979988,0.980856,0.977273,0.979120,0.980326,0.978713,0.980501,0.980962,0.980434,0.980603,0.981958,0.980676
0.983251,0.981088,0.980753,0.982220,0.978767,0.976965,0.979210,0.976984,0.977591,0.980618,0.979476,0.979866,0.980846,0.981707,0.981093,0.979194,0.980159
0.982032,0.980298,0.978672,0.982060,0.977460,0.978150,0.977266,0.976021,0.977744,0.984115,0.977271,0.981020,0.978276,0.981150,0.980603,0.980358,0.980245
0.983187,0.981138,0.979192,0.981183,0.977024,0.976149,0.977116,0.978236,0.976979,0.978286,0.976592,0.979808,0.978276,0.982900,0.979077,0.977957,0.979900
0.981390,0.980397,0.977285,0.979987,0.976961,0.976312,0.978014,0.976791,0.976138,0.979161,0.976847,0.977905,0.978626,0.980275,0.979349,0.977593,0.977226
0.979657,0.979113,0.978845,0.979509,0.976712,0.975904,0.976817,0.974962,0.974761,0.981055,0.974896,0.977501,0.977225,0.979162,0.978913,0.978175,0.979814
0.980363,0.978570,0.977111,0.977835,0.976775,0.975577,0.973826,0.975250,0.974914,0.980618,0.974557,0.976751,0.975940,0.978764,0.977715,0.977302,0.978692
0.980556,0.980002,0.983527,0.979987,0.975903,0.974638,0.974723,0.976213,0.974149,0.979452,0.977101,0.976751,0.977108,0.980116,0.977933,0.976138,0.979986
0.978502,0.977978,0.980059,0.979030,0.974222,0.975904,0.975471,0.976310,0.976444,0.981055,0.974811,0.976866,0.976524,0.979400,0.979785,0.977230,0.978002
0.978502,0.979311,0.978325,0.978871,0.975529,0.974433,0.970685,0.974095,0.973996,0.977849,0.974472,0.976347,0.977575,0.979480,0.978042,0.977230,0.979382
