Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.984001,0.988522,0.986625,0.984702,0.988821,0.984826,0.991473,0.987259,0.986331,0.989693,0.988370,0.989196,0.985288,0.987788,0.985422,0.987848,0.984561,0.985994
0.983913,0.988179,0.984396,0.986057,0.985862,0.983002,0.989478,0.985240,0.986727,0.988738,0.990246,0.987741,0.985288,0.985075,0.986507,0.990008,0.985654,0.985918
0.983210,0.988625,0.982613,0.982378,0.986190,0.982007,0.987845,0.984483,0.986430,0.989502,0.988933,0.988573,0.985697,0.988467,0.984802,0.987578,0.983741,0.985613
0.985320,0.988282,0.979492,0.983153,0.987177,0.980348,0.989115,0.985619,0.986826,0.989311,0.986119,0.987741,0.982019,0.982361,0.983871,0.985552,0.982375,0.986222
0.981189,0.986426,0.977263,0.983734,0.983121,0.980514,0.988570,0.983474,0.983459,0.987211,0.986869,0.987741,0.985697,0.983039,0.984181,0.984607,0.983741,0.985918
0.981628,0.984983,0.979937,0.980635,0.983670,0.980099,0.990203,0.985493,0.983954,0.987975,0.986494,0.986079,0.983653,0.985075,0.982785,0.986767,0.983058,0.984624
0.984793,0.985911,0.983504,0.985670,0.986300,0.982089,0.986575,0.983600,0.985341,0.986639,0.987995,0.987326,0.984879,0.978290,0.983871,0.987443,0.983194,0.984091
0.982067,0.986289,0.977708,0.983153,0.986081,0.981177,0.985486,0.985240,0.981676,0.987402,0.989495,0.988157,0.983245,0.981682,0.984491,0.987578,0.982238,0.984624
0.981628,0.984948,0.979492,0.981410,0.983560,0.981012,0.984398,0.982591,0.983063,0.987020,0.986307,0.988780,0.982019,0.981004,0.984957,0.986632,0.981145,0.981731
0.981540,0.984192,0.976371,0.979861,0.981149,0.980348,0.982584,0.982339,0.981280,0.987020,0.982930,0.985871,0.983653,0.980326,0.983251,0.985012,0.979779,0.983938
0.981276,0.985533,0.977263,0.982378,0.984327,0.979602,0.983309,0.982970,0.980784,0.987211,0.986119,0.989404,0.983653,0.982361,0.984491,0.985687,0.980325,0.983025
0.980397,0.983402,0.981275,0.981797,0.985314,0.980017,0.986212,0.982591,0.980983,0.985493,0.984618,0.986703,0.983245,0.979647,0.983096,0.986497,0.979505,0.983634
0.980661,0.981684,0.975479,0.980248,0.982683,0.978690,0.987300,0.980699,0.979794,0.986639,0.986307,0.983378,0.980384,0.980326,0.981545,0.984202,0.981282,0.981883
0.979518,0.982680,0.984842,0.978892,0.983779,0.978524,0.984035,0.981077,0.978011,0.985493,0.983493,0.983171,0.982019,0.981682,0.980149,0.985957,0.980735,0.981959
0.981101,0.983780,0.978154,0.979861,0.986848,0.981012,0.981858,0.982591,0.981973,0.985112,0.982555,0.988780,0.984062,0.983718,0.983406,0.986227,0.980325,0.982797
0.979079,0.985223,0.979046,0.980635,0.980929,0.979436,0.985668,0.982465,0.981181,0.987020,0.984056,0.985248,0.981201,0.978969,0.981545,0.982987,0.977456,0.983786
0.978639,0.982405,0.977263,0.979086,0.981477,0.977861,0.983853,0.977797,0.980091,0.984539,0.981992,0.984002,0.979975,0.978290,0.979218,0.980691,0.977456,0.981655
0.979782,0.983952,0.979492,0.979473,0.984108,0.980597,0.981858,0.980573,0.981775,0.987975,0.984993,0.988157,0.982836,0.978290,0.982165,0.983932,0.979642,0.982112
0.982947,0.985326,0.982167,0.983927,0.987177,0.980265,0.980225,0.983727,0.983360,0.987211,0.984243,0.986703,0.985288,0.983718,0.983716,0.986767,0.984288,0.984015
0.983738,0.984467,0.986179,0.983540,0.984656,0.982255,0.986575,0.984862,0.983657,0.986639,0.985931,0.987326,0.984062,0.979647,0.982165,0.986767,0.986337,0.983710
0.986990,0.985189,0.987963,0.986832,0.986410,0.985572,0.992562,0.985619,0.984746,0.988548,0.987432,0.990443,0.986514,0.985075,0.983406,0.985687,0.988933,0.986603
0.988485,0.987595,0.991975,0.990124,0.989588,0.985572,0.985486,0.985745,0.986826,0.989502,0.986869,0.994182,0.985288,0.987110,0.984491,0.989603,0.991119,0.989800
0.986551,0.985670,0.989300,0.986057,0.986300,0.982753,0.985305,0.984357,0.983954,0.988929,0.985744,0.992105,0.988557,0.986432,0.981079,0.987038,0.989753,0.986070
0.981013,0.981959,0.982167,0.981216,0.982135,0.979270,0.988570,0.980951,0.979695,0.986257,0.983305,0.986703,0.979158,0.978290,0.981855,0.983662,0.982921,0.981503
0.981716,0.983299,0.980383,0.978699,0.982793,0.980265,0.988389,0.980825,0.979992,0.986448,0.983493,0.986703,0.980793,0.983039,0.980924,0.983797,0.981965,0.983101
0.982067,0.983883,0.981275,0.979667,0.985423,0.981841,0.982946,0.980825,0.982666,0.985875,0.983493,0.986495,0.982019,0.985753,0.981545,0.983257,0.981282,0.982797
0.981804,0.982131,0.979937,0.981216,0.980381,0.978524,0.982765,0.981834,0.980289,0.985303,0.981429,0.984625,0.979975,0.983718,0.979373,0.980556,0.979642,0.982949
0.976969,0.979485,0.978154,0.977149,0.979066,0.975373,0.986938,0.978428,0.978110,0.984348,0.983680,0.981508,0.974663,0.977612,0.979063,0.979206,0.976363,0.981274
0.978551,0.981237,0.971021,0.975794,0.979614,0.976948,0.986393,0.979942,0.979101,0.981294,0.980304,0.981301,0.977523,0.987788,0.977202,0.980151,0.978002,0.978686
0.977760,0.982405,0.978600,0.978699,0.982683,0.977695,0.981132,0.979185,0.980388,0.986066,0.985369,0.987949,0.982836,0.981682,0.981079,0.983122,0.978412,0.981274
0.976002,0.981134,0.980383,0.977924,0.979395,0.975954,0.985668,0.975653,0.977318,0.979958,0.982555,0.976522,0.979158,0.979647,0.977202,0.982312,0.975543,0.979371
0.978288,0.980344,0.975925,0.976569,0.977751,0.975456,0.984942,0.974770,0.977021,0.979195,0.979366,0.978184,0.977523,0.977612,0.974100,0.978261,0.978276,0.978991
0.977145,0.981340,0.975033,0.977730,0.980162,0.976948,0.981858,0.977293,0.979992,0.983776,0.980304,0.980677,0.981610,0.978969,0.977047,0.981637,0.978412,0.979523
0.980222,0.981340,0.983058,0.978118,0.980381,0.976700,0.980225,0.978933,0.979398,0.982821,0.981242,0.981508,0.982019,0.986432,0.979684,0.981772,0.980325,0.981350
0.976881,0.979416,0.976371,0.975213,0.977313,0.976285,0.982402,0.976914,0.975535,0.981103,0.980116,0.976937,0.976297,0.977612,0.974256,0.979881,0.975543,0.979295
0.976530,0.979072,0.975033,0.975988,0.978957,0.977363,0.980406,0.979816,0.975634,0.980722,0.978428,0.977561,0.978341,0.982361,0.974566,0.980556,0.978959,0.976479
0.978024,0.980550,0.973696,0.976762,0.980929,0.977446,0.977322,0.979690,0.978407,0.984157,0.982367,0.982963,0.979975,0.979647,0.977667,0.980961,0.978822,0.978610
0.977145,0.979588,0.976371,0.978892,0.978518,0.975207,0.978955,0.976536,0.976030,0.981867,0.979929,0.981716,0.976706,0.983039,0.979063,0.978801,0.976500,0.979447
0.977321,0.978625,0.977708,0.975407,0.975997,0.975290,0.981858,0.976031,0.975238,0.984730,0.978053,0.976522,0.978341,0.980326,0.974876,0.976641,0.975133,0.977468
0.976881,0.979588,0.974142,0.974438,0.977861,0.974710,0.978774,0.976914,0.978011,0.982058,0.980116,0.982547,0.979567,0.976934,0.977357,0.977451,0.974723,0.978762
0.978024,0.980034,0.974142,0.978505,0.979614,0.976534,0.978955,0.977293,0.976129,0.982439,0.981242,0.979846,0.979567,0.979647,0.977202,0.980151,0.975543,0.978001
0.975738,0.977629,0.969683,0.975988,0.975997,0.976202,0.981858,0.975401,0.976525,0.982630,0.978053,0.976522,0.976706,0.977612,0.974566,0.980691,0.973904,0.977316
