Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.981773,0.975457,0.976249,0.979900,0.979623,0.980201,0.973632,0.977755,0.975499,0.977141,0.978223,0.977053,0.980456,0.977440,0.977574,0.976386,0.978951,0.981307,0.976707,0.974893,0.976000,0.978449
0.980669,0.970678,0.971457,0.975700,0.975375,0.975539,0.972327,0.974348,0.969224,0.973251,0.973676,0.973777,0.977993,0.973412,0.972336,0.972908,0.975620,0.975687,0.972124,0.966343,0.971718,0.975603
0.980696,0.971248,0.970576,0.976463,0.977433,0.975703,0.971022,0.974348,0.974005,0.974042,0.975434,0.973329,0.976683,0.973867,0.972241,0.973413,0.975492,0.979357,0.972250,0.971093,0.975024,0.976274
0.978084,0.969872,0.969307,0.974909,0.974645,0.975539,0.969808,0.972805,0.970851,0.974064,0.974287,0.972903,0.973487,0.972928,0.970669,0.971001,0.974894,0.974502,0.970779,0.967734,0.971005,0.973077
0.976038,0.968257,0.965783,0.974309,0.970397,0.973016,0.968048,0.970971,0.967631,0.970416,0.972110,0.970188,0.973120,0.971777,0.969289,0.969010,0.969984,0.971635,0.970863,0.966343,0.970103,0.973940
0.978973,0.970030,0.966841,0.977036,0.974047,0.974058,0.968868,0.972223,0.972511,0.973053,0.973600,0.970233,0.975740,0.973746,0.971241,0.971534,0.971906,0.978554,0.972629,0.973977,0.972807,0.973972
0.979053,0.969539,0.969695,0.976627,0.974711,0.975210,0.970021,0.972834,0.973772,0.971009,0.974020,0.970188,0.976212,0.974170,0.972288,0.972796,0.973784,0.977904,0.970989,0.977743,0.969390,0.971958
0.979215,0.968004,0.966946,0.976900,0.974512,0.974661,0.968291,0.971029,0.972312,0.970701,0.973179,0.969291,0.975950,0.972686,0.970574,0.971590,0.972418,0.976758,0.971620,0.976623,0.969690,0.972309
0.978569,0.969381,0.969977,0.978372,0.977300,0.975594,0.969262,0.972631,0.975167,0.970833,0.972988,0.969403,0.977888,0.975260,0.974241,0.970693,0.973272,0.979816,0.970989,0.979439,0.971380,0.975251
0.979027,0.970599,0.968990,0.978236,0.975906,0.974058,0.971295,0.972718,0.974038,0.971449,0.974708,0.969336,0.978727,0.977046,0.973383,0.970665,0.973571,0.980848,0.970989,0.978286,0.970253,0.973748
0.976873,0.968099,0.967017,0.976409,0.975043,0.972797,0.971234,0.972310,0.971614,0.969295,0.971384,0.968820,0.976107,0.975260,0.971241,0.969543,0.973272,0.976681,0.970695,0.973434,0.969390,0.972501
0.978838,0.970410,0.967898,0.977554,0.974579,0.972851,0.971811,0.973941,0.974237,0.972130,0.973944,0.970121,0.980561,0.977592,0.974145,0.971759,0.975620,0.981956,0.970400,0.983409,0.971530,0.974707
0.977465,0.968716,0.969096,0.976954,0.974180,0.971919,0.971629,0.970855,0.970419,0.971031,0.972645,0.968932,0.975793,0.974775,0.970622,0.967804,0.975663,0.977407,0.969433,0.973332,0.969690,0.970103
0.976792,0.966707,0.965783,0.973872,0.972189,0.972358,0.969505,0.969428,0.966037,0.967888,0.969626,0.967743,0.974692,0.971565,0.969670,0.967664,0.972674,0.973432,0.966869,0.970075,0.967174,0.972981
0.976550,0.967735,0.965572,0.972290,0.972123,0.971919,0.969869,0.970855,0.969324,0.970130,0.973600,0.968932,0.973592,0.973019,0.970003,0.969767,0.971479,0.976566,0.967373,0.971840,0.968188,0.971670
0.974773,0.968147,0.966418,0.970899,0.971459,0.973894,0.971022,0.971291,0.969523,0.970328,0.971422,0.969785,0.970658,0.973110,0.967289,0.968561,0.970625,0.973967,0.967625,0.964715,0.968789,0.972149
0.975365,0.966090,0.966101,0.972045,0.971724,0.972632,0.969505,0.970505,0.967996,0.968943,0.971078,0.968708,0.972072,0.973019,0.967860,0.968954,0.970070,0.973890,0.966953,0.967327,0.967700,0.972341
0.976038,0.967973,0.966805,0.974063,0.974180,0.974606,0.970112,0.972572,0.970718,0.969009,0.973294,0.968887,0.973068,0.973806,0.969670,0.970609,0.971948,0.977140,0.968004,0.969193,0.968676,0.972597
0.975607,0.968368,0.968391,0.973327,0.972654,0.971370,0.972630,0.971466,0.968826,0.968262,0.972912,0.968730,0.971391,0.972474,0.968051,0.967664,0.970838,0.974770,0.966574,0.967531,0.967662,0.970135
0.976415,0.970141,0.973219,0.973463,0.971791,0.972303,0.974147,0.972951,0.972212,0.968503,0.971269,0.968237,0.975007,0.972171,0.970479,0.968758,0.970753,0.973470,0.967247,0.975538,0.968488,0.971446
0.975607,0.973432,0.976989,0.977172,0.975043,0.976307,0.977182,0.972834,0.974768,0.969888,0.970925,0.969942,0.979041,0.974745,0.974907,0.969767,0.970924,0.976910,0.970947,0.981814,0.972470,0.973844
0.973776,0.971596,0.974875,0.976190,0.973384,0.975210,0.973358,0.972601,0.974702,0.969734,0.971613,0.969942,0.975635,0.972898,0.972669,0.969599,0.973571,0.976452,0.967751,0.974452,0.971343,0.973396
0.976038,0.969318,0.972479,0.975400,0.971393,0.973016,0.971174,0.972339,0.971880,0.968086,0.971231,0.968304,0.977312,0.972595,0.973288,0.968674,0.971094,0.976987,0.966574,0.975775,0.969239,0.974388
