Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.975479,0.966254,0.967120,0.973182,0.972625,0.969291,0.959129,0.971703,0.960884,0.971915,0.973201,0.968431,0.970976,0.973520,0.968560,0.970661,0.970513,0.975828,0.968875,0.976564,0.970378,0.969993
0.974355,0.965630,0.964640,0.971051,0.969860,0.969634,0.960221,0.972658,0.959391,0.971875,0.972173,0.967548,0.969844,0.971257,0.967669,0.969493,0.966752,0.972564,0.971001,0.969540,0.970802,0.969722
0.975019,0.965065,0.964427,0.969544,0.968616,0.970551,0.959416,0.970032,0.960227,0.972160,0.972247,0.966930,0.970329,0.970096,0.967264,0.969987,0.967692,0.973397,0.969895,0.971842,0.970802,0.970295
0.975172,0.967236,0.967545,0.972143,0.971796,0.969405,0.959129,0.972897,0.961541,0.973138,0.973568,0.968475,0.970976,0.973459,0.968560,0.969672,0.970427,0.973467,0.969215,0.973672,0.971650,0.972076
0.975990,0.967295,0.968254,0.974118,0.973179,0.971009,0.960508,0.974031,0.961839,0.973668,0.971145,0.967946,0.973886,0.974804,0.970586,0.970796,0.971197,0.978259,0.971766,0.976978,0.971529,0.973193
0.975888,0.967146,0.967900,0.972195,0.972902,0.967916,0.962348,0.973255,0.960943,0.973220,0.972981,0.969932,0.972350,0.972786,0.970424,0.971694,0.970342,0.976939,0.970236,0.978394,0.970802,0.975578
0.979157,0.970922,0.973569,0.978276,0.973732,0.976395,0.969303,0.975822,0.969364,0.974524,0.973128,0.971566,0.976473,0.976333,0.972369,0.973806,0.972992,0.980551,0.974062,0.980283,0.974982,0.976997
0.983908,0.979753,0.982851,0.984824,0.982580,0.979833,0.983502,0.979464,0.981308,0.978519,0.976432,0.979072,0.982941,0.980981,0.977149,0.977176,0.977436,0.981107,0.978655,0.985478,0.979222,0.977963
0.987484,0.986710,0.993835,0.989813,0.990046,0.989114,0.991895,0.984061,0.988653,0.982799,0.982526,0.984414,0.987792,0.986668,0.983065,0.980141,0.981453,0.987706,0.982737,0.989256,0.984492,0.982491
0.986003,0.981685,0.984906,0.982485,0.984792,0.982812,0.983617,0.982210,0.980770,0.981372,0.978781,0.980573,0.982375,0.981776,0.977879,0.978389,0.979658,0.983260,0.980696,0.985242,0.982493,0.979563
0.980587,0.974252,0.977395,0.976924,0.975114,0.975822,0.970510,0.977195,0.969424,0.977500,0.977753,0.974303,0.976635,0.975966,0.972774,0.973986,0.976068,0.979926,0.975508,0.980519,0.976920,0.975427
0.979975,0.969733,0.971726,0.976145,0.975252,0.974447,0.963497,0.974987,0.964646,0.975421,0.976138,0.970639,0.974533,0.974193,0.972369,0.972952,0.973419,0.977704,0.973722,0.981995,0.975709,0.973978
0.976807,0.966373,0.967545,0.971363,0.970552,0.971468,0.958554,0.972539,0.959570,0.973668,0.973862,0.968696,0.972431,0.971747,0.969127,0.972458,0.970684,0.976731,0.970321,0.978571,0.973165,0.971533
0.973333,0.962657,0.964144,0.968089,0.966957,0.965624,0.955737,0.970390,0.955748,0.970733,0.970705,0.964678,0.969440,0.968261,0.965076,0.967785,0.966325,0.971939,0.966664,0.972727,0.969409,0.970808
