Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.983173,0.972788,0.973732,0.975619,0.973920,0.975657,0.973205,0.974114,0.973328,0.972595,0.975521,0.971867,0.978653,0.975357,0.972093,0.972853,0.974747,0.976178,0.973343,0.971966,0.974821,0.977694
0.983230,0.973985,0.972931,0.976158,0.975947,0.978207,0.972715,0.974535,0.974974,0.974055,0.976349,0.972102,0.978497,0.977174,0.972045,0.974943,0.977517,0.980061,0.975774,0.975488,0.975577,0.976732
0.982605,0.973460,0.973045,0.977476,0.975528,0.976628,0.972745,0.974826,0.974938,0.974220,0.976059,0.972149,0.977306,0.978000,0.972335,0.974384,0.976317,0.979535,0.975594,0.975488,0.975418,0.978060
0.980534,0.971426,0.969609,0.972894,0.973920,0.974382,0.971398,0.971368,0.970877,0.971700,0.975521,0.969589,0.975803,0.973177,0.968949,0.970262,0.971977,0.974156,0.972307,0.969563,0.973866,0.975570
0.980846,0.971443,0.969953,0.974571,0.973221,0.975414,0.971704,0.971917,0.971425,0.972878,0.975479,0.971280,0.976425,0.974531,0.969578,0.972647,0.974239,0.977755,0.972803,0.973084,0.973349,0.975304
0.981130,0.972804,0.971785,0.977356,0.976647,0.976811,0.971061,0.973048,0.974791,0.973513,0.977219,0.971116,0.976218,0.976117,0.971174,0.973442,0.976825,0.978766,0.972758,0.976029,0.974304,0.978790
0.982151,0.971886,0.969953,0.976757,0.976367,0.976143,0.971459,0.973565,0.973913,0.972713,0.975314,0.970153,0.976269,0.974531,0.970497,0.973854,0.976686,0.979495,0.973388,0.974100,0.973946,0.976533
0.980761,0.969606,0.969495,0.973403,0.973011,0.974989,0.969806,0.971206,0.969596,0.970900,0.974651,0.968838,0.976321,0.972318,0.968176,0.972293,0.972578,0.976825,0.970236,0.970274,0.972991,0.975205
0.980562,0.970606,0.970640,0.974032,0.975178,0.974868,0.969071,0.971303,0.972011,0.970853,0.973781,0.969308,0.976166,0.973837,0.969772,0.972028,0.974101,0.978362,0.970776,0.973761,0.973389,0.975736
0.980562,0.970869,0.971327,0.976368,0.975738,0.976021,0.971061,0.971077,0.974791,0.969864,0.974278,0.968979,0.979534,0.973837,0.969095,0.973236,0.975024,0.980101,0.970191,0.974709,0.974026,0.974873
