Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
12.8040,0.670000,0.974468,0.982815,0.973933,0.987179,0.986580,0.986844,0.985438
12.8040,0.671000,0.973331,0.980457,0.972554,0.983325,0.983454,0.985351,0.980110
12.8040,0.674000,0.971728,0.978204,0.970278,0.981991,0.981853,0.983130,0.980288
12.8050,0.673000,0.971935,0.974641,0.969657,0.979545,0.979794,0.980492,0.979932
12.8050,0.672000,0.969403,0.975741,0.970830,0.977840,0.977888,0.977576,0.978867
3.20900,3.69800,0.971728,0.975113,0.970761,0.975988,0.977049,0.979242,0.978512
3.21100,7.37600,0.970281,0.973384,0.968140,0.975691,0.974685,0.977124,0.975315
3.20800,10.0890,0.969713,0.973122,0.968416,0.973987,0.973160,0.975597,0.971586
3.20800,12.3280,0.969196,0.971445,0.967726,0.973912,0.974609,0.975597,0.974427
3.20900,12.5320,0.968524,0.972179,0.968209,0.972949,0.973999,0.975076,0.972829
3.21000,1.19000,0.969196,0.970712,0.966623,0.979174,0.978498,0.976534,0.974427
3.21100,0.756000,0.972659,0.975951,0.970899,0.991181,0.991384,0.986705,0.979045
3.21000,0.724000,0.978447,0.979461,0.974829,0.997999,1.00084,0.995001,0.987569
3.21100,0.719000,0.976638,0.980562,0.974760,0.996294,1.00152,0.994585,0.991476
3.21200,0.715000,0.973176,0.975899,0.971105,0.989921,0.992604,0.987746,0.985970
3.21200,0.713000,0.970953,0.974851,0.971243,0.984807,0.984903,0.981394,0.980820
3.21200,0.711000,0.968265,0.972021,0.967519,0.980286,0.981472,0.977263,0.976914
3.21100,0.712000,0.965733,0.968459,0.966554,0.975321,0.976058,0.974035,0.974782
3.21100,0.713000,0.964389,0.967830,0.965382,0.972875,0.975295,0.972473,0.972829
3.21100,0.712000,0.963304,0.967306,0.964140,0.972134,0.972169,0.971675,0.972296
3.21200,0.714000,0.962270,0.967673,0.965589,0.971541,0.970568,0.969522,0.970520
3.21100,0.712000,0.961081,0.965472,0.963658,0.971689,0.969653,0.970460,0.969988
3.21100,0.705000,0.960926,0.965944,0.962968,0.969169,0.968967,0.969106,0.972119
3.21100,0.706000,0.961598,0.964791,0.962899,0.967761,0.968128,0.968724,0.970343
3.21100,0.708000,0.960409,0.965001,0.961796,0.967909,0.968662,0.968932,0.969100
3.21200,0.708000,0.961650,0.964162,0.961865,0.967020,0.966298,0.967960,0.970343
3.21100,0.708000,0.960616,0.963795,0.960141,0.966427,0.966603,0.967023,0.968922
3.21200,0.706000,0.960461,0.963533,0.961934,0.964797,0.964849,0.965773,0.967146
3.21100,0.706000,0.959376,0.962590,0.960347,0.964426,0.966374,0.967266,0.966791
3.21200,0.704000,0.960254,0.962119,0.960554,0.964945,0.962638,0.966468,0.968034
3.21000,3.64000,0.960254,0.960599,0.961037,0.963759,0.963629,0.966850,0.968922
3.21000,7.38600,0.958032,0.959866,0.960347,0.964278,0.963706,0.966572,0.968034
3.21000,10.1190,0.959169,0.961123,0.958899,0.963462,0.962638,0.965878,0.965548
3.21000,12.3430,0.959272,0.960495,0.959313,0.963092,0.961342,0.965878,0.963417
3.21000,11.2550,0.958962,0.960023,0.958899,0.961832,0.962104,0.964558,0.963239
3.21000,1.18100,0.958962,0.960233,0.958279,0.960053,0.963477,0.965635,0.965725
3.21200,0.722000,0.959634,0.961019,0.959727,0.961239,0.965154,0.967613,0.969100
3.21200,0.682000,0.960926,0.961804,0.960761,0.962647,0.964621,0.968203,0.969100
3.21200,0.679000,0.961236,0.962800,0.961175,0.963537,0.968281,0.971015,0.974782
3.21200,0.676000,0.959841,0.961962,0.961451,0.962351,0.966451,0.968828,0.970343
3.21200,0.677000,0.959634,0.960704,0.960347,0.961461,0.965459,0.967058,0.968922
3.21100,0.676000,0.957722,0.959342,0.958210,0.961684,0.962409,0.964454,0.966436
3.21200,0.675000,0.955913,0.958661,0.956899,0.959979,0.960427,0.963482,0.964838
3.21200,0.676000,0.954724,0.958556,0.955451,0.957978,0.957835,0.961747,0.961996
3.21200,0.676000,0.955138,0.957508,0.955313,0.956348,0.956996,0.960671,0.962174
3.21200,0.675000,0.954207,0.957037,0.954900,0.955236,0.957072,0.961087,0.963417
3.21300,0.675000,0.955758,0.956565,0.954900,0.956200,0.957911,0.959595,0.960931
3.21100,0.675000,0.954207,0.956303,0.954141,0.956644,0.959283,0.959352,0.960220
3.21200,0.676000,0.954569,0.954941,0.954486,0.955458,0.956996,0.959317,0.959155
3.21300,0.676000,0.953845,0.956303,0.954279,0.955014,0.956081,0.959907,0.960753
3.21200,0.678000,0.954156,0.956355,0.953796,0.956792,0.956843,0.959560,0.958799
3.21300,0.673000,0.953794,0.954364,0.952624,0.955755,0.956462,0.958900,0.961286
3.21400,0.674000,0.954672,0.955098,0.952417,0.956125,0.955318,0.959803,0.962351
3.21200,0.674000,0.953535,0.954260,0.953934,0.954791,0.954785,0.959837,0.958444
3.21200,0.675000,0.953949,0.954784,0.952693,0.955014,0.954098,0.958657,0.957911
