Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.972289,0.977258,0.977940,0.978516,0.980382,0.977506,0.976808,0.978225,0.977556,0.976548,0.977632,0.977644,0.979550,0.977887,0.979187,0.979597,0.973375,0.977072,0.982878
0.974382,0.976869,0.978229,0.980030,0.978268,0.976926,0.978445,0.979614,0.979538,0.977937,0.977468,0.978256,0.980706,0.976763,0.980840,0.980909,0.979640,0.977072,0.984830
0.978369,0.977453,0.979718,0.980086,0.980712,0.980331,0.979991,0.982896,0.977910,0.980660,0.977600,0.978773,0.981886,0.978142,0.981718,0.981387,0.982772,0.979720,0.984905
0.981061,0.980862,0.982170,0.982667,0.983420,0.982613,0.981810,0.982138,0.981875,0.981494,0.979507,0.982539,0.985942,0.980542,0.984558,0.983654,0.986687,0.980556,0.985731
0.981160,0.980326,0.979959,0.981825,0.983618,0.982070,0.982356,0.980371,0.980742,0.980660,0.980461,0.981315,0.983843,0.980185,0.983319,0.985443,0.985748,0.981811,0.984530
0.977572,0.979109,0.978421,0.980872,0.981703,0.979172,0.980355,0.978667,0.978830,0.979160,0.977369,0.979291,0.981225,0.980696,0.982750,0.982818,0.983399,0.979093,0.984755
0.975578,0.974580,0.974047,0.974701,0.977806,0.975079,0.976216,0.976584,0.977485,0.975714,0.975527,0.973549,0.976107,0.975640,0.978361,0.980671,0.981206,0.977699,0.980324
0.973385,0.975457,0.974287,0.974477,0.974569,0.972507,0.975443,0.973807,0.976706,0.973602,0.973554,0.972984,0.975281,0.975078,0.975675,0.976375,0.979326,0.977978,0.980174
0.972388,0.976723,0.974720,0.974196,0.976815,0.976274,0.975352,0.973996,0.975007,0.974936,0.974639,0.973738,0.975989,0.974976,0.975572,0.976852,0.973845,0.977699,0.978071
0.973036,0.976625,0.975585,0.975206,0.976551,0.977759,0.975352,0.973681,0.976848,0.973491,0.975494,0.974585,0.975895,0.977070,0.975985,0.978642,0.973375,0.975538,0.979498
0.972438,0.976187,0.973182,0.974701,0.975758,0.974535,0.975216,0.974628,0.975998,0.974380,0.973060,0.973126,0.974833,0.975180,0.975520,0.974108,0.971809,0.975120,0.978898
0.971591,0.972632,0.969770,0.970775,0.972786,0.969500,0.971987,0.971346,0.975503,0.970935,0.971350,0.968560,0.970187,0.971963,0.974849,0.975779,0.975568,0.974284,0.973491
0.969647,0.971366,0.969626,0.968924,0.972389,0.970913,0.971714,0.970273,0.972600,0.969323,0.969573,0.968607,0.970800,0.970328,0.973145,0.971006,0.971652,0.971636,0.975443
0.968002,0.973509,0.972269,0.971728,0.975824,0.973630,0.972169,0.970525,0.972529,0.971657,0.972139,0.970772,0.972758,0.971146,0.974900,0.974347,0.971496,0.974354,0.975068
0.968949,0.974531,0.973999,0.973411,0.973248,0.974608,0.973442,0.973365,0.971467,0.973713,0.972929,0.971808,0.973630,0.974108,0.976915,0.973154,0.969930,0.973657,0.977320
0.969847,0.973070,0.971933,0.971392,0.973182,0.970551,0.973852,0.971219,0.973025,0.970824,0.972402,0.969549,0.971107,0.973188,0.976243,0.974347,0.973375,0.975260,0.974091
0.967205,0.972486,0.969626,0.969821,0.972653,0.970442,0.971987,0.969389,0.974370,0.971935,0.971119,0.968043,0.971059,0.971809,0.973196,0.973154,0.971809,0.973029,0.973941
0.966507,0.971220,0.970971,0.969877,0.972059,0.971312,0.971578,0.970778,0.970547,0.970935,0.971119,0.969407,0.970682,0.971707,0.973093,0.973034,0.965388,0.972820,0.975218
0.965809,0.970976,0.970875,0.971223,0.970408,0.970297,0.971942,0.971219,0.970971,0.969101,0.970264,0.969596,0.971578,0.972371,0.973816,0.973273,0.968520,0.971984,0.974993
0.966707,0.971220,0.969962,0.970494,0.972455,0.969971,0.971669,0.970273,0.970759,0.969879,0.969639,0.969313,0.971673,0.971912,0.975469,0.973750,0.971339,0.971636,0.974166
0.965809,0.970246,0.970347,0.968980,0.971134,0.969790,0.971078,0.971219,0.971325,0.969323,0.968883,0.969031,0.970069,0.970124,0.972886,0.972199,0.971496,0.972054,0.971838
0.966408,0.972048,0.969289,0.971841,0.970936,0.969030,0.970668,0.970588,0.971467,0.970546,0.969935,0.968560,0.970470,0.971248,0.972576,0.972915,0.970869,0.974214,0.974842
0.966507,0.972924,0.971067,0.970887,0.973644,0.970442,0.972306,0.971472,0.972104,0.970712,0.971383,0.969925,0.973206,0.970737,0.976192,0.974824,0.970399,0.973448,0.974542
0.967155,0.972681,0.971548,0.970270,0.974437,0.970515,0.972033,0.971219,0.970759,0.968767,0.971087,0.971055,0.972191,0.973035,0.974900,0.972199,0.969460,0.971078,0.975368
0.967105,0.972730,0.972173,0.970214,0.972852,0.970008,0.972033,0.973050,0.970263,0.970435,0.970429,0.969925,0.971956,0.971554,0.974074,0.975898,0.973688,0.973866,0.976344
0.969747,0.974337,0.975201,0.977450,0.976220,0.973594,0.976035,0.974564,0.981096,0.975103,0.975330,0.979668,0.981838,0.976508,0.979342,0.988546,0.978700,0.976166,0.979799
0.975379,0.986219,0.994473,1.00297,0.990752,0.982613,0.990405,0.984852,1.00312,0.979993,0.979968,1.00014,1.00285,0.986671,0.996127,1.02971,1.00345,0.989477,0.990087
0.980064,1.00945,1.02888,1.02047,1.02008,0.997935,1.01573,1.00789,1.02775,0.987885,0.990560,1.00311,1.00222,0.999183,1.02691,1.05393,1.02146,1.02056,1.01862
0.985995,1.02547,1.03158,1.00724,1.01691,1.00924,1.03051,1.01906,1.03462,0.999778,1.00076,0.997270,0.994929,1.00041,1.04519,1.04319,1.02976,1.02014,1.01712
0.990979,1.02985,1.01677,0.997756,1.00614,1.01119,1.02301,1.00846,1.03434,1.00995,1.00951,0.995811,0.995920,0.999336,1.03853,1.03066,1.02647,1.00397,1.00090
0.993919,1.02372,1.00822,0.995569,0.998679,1.00815,1.01041,0.999116,1.02910,1.01556,1.01122,0.993693,0.993372,0.995966,1.02190,1.02231,1.02099,0.994494,0.992265
0.998854,1.02060,1.01014,0.996017,0.998349,1.00529,1.00628,0.994635,1.02782,1.01634,1.01082,0.992140,0.990825,0.993003,1.01379,1.02124,1.01832,0.985853,0.983103
0.998206,1.02026,1.01033,0.995849,0.999273,1.00489,1.00787,0.994761,1.02641,1.01423,1.00878,0.993411,0.992216,0.995404,1.01012,1.02184,1.01519,0.977768,0.978898
0.993321,1.01402,1.00855,0.994671,0.996697,1.00014,1.00759,0.991669,1.01968,1.00617,1.00365,0.990399,0.989103,0.992646,1.00480,1.01647,1.01112,0.976375,0.977996
0.986942,1.00536,1.00375,0.991193,0.994121,0.993697,1.00146,0.991795,1.01494,0.997944,0.994178,0.988281,0.987263,0.986007,1.00067,1.00835,0.999530,0.973935,0.971989
0.984201,0.996494,0.999423,0.991978,0.990554,0.989749,0.994725,0.986620,1.00432,0.991053,0.989014,0.989457,0.987428,0.982738,0.995817,1.00406,0.995928,0.976862,0.974166
0.977422,0.988020,0.989811,0.987042,0.986459,0.982975,0.986903,0.984095,0.995610,0.985217,0.984211,0.988140,0.986508,0.978449,0.992408,0.996063,0.987471,0.973517,0.974917
0.974332,0.981008,0.984428,0.982891,0.983288,0.980838,0.981764,0.977278,0.987327,0.981605,0.981415,0.985504,0.985659,0.976916,0.987089,0.989142,0.981363,0.972402,0.971763
0.971840,0.978817,0.982314,0.979525,0.977674,0.978556,0.977672,0.976016,0.984282,0.979771,0.979770,0.981268,0.982192,0.975282,0.984920,0.984370,0.979640,0.970939,0.971463
0.969996,0.975992,0.978709,0.978404,0.978334,0.975948,0.975216,0.971535,0.979751,0.978215,0.976580,0.978821,0.978701,0.973699,0.980065,0.979358,0.976038,0.969475,0.971087
0.970644,0.976625,0.977171,0.977282,0.976617,0.976057,0.976262,0.972103,0.979822,0.976159,0.975132,0.976467,0.977522,0.973035,0.978980,0.979000,0.974785,0.970660,0.971838
0.969149,0.973606,0.975393,0.974757,0.975626,0.973231,0.975489,0.972860,0.976565,0.974714,0.973521,0.975055,0.974927,0.970941,0.978877,0.977568,0.971809,0.970730,0.973491
0.969248,0.974337,0.974960,0.975487,0.974767,0.974391,0.976535,0.971661,0.976140,0.974714,0.973915,0.975338,0.976060,0.973495,0.977224,0.978284,0.973218,0.969336,0.971838
0.967853,0.970830,0.973038,0.973692,0.974833,0.971964,0.975807,0.970651,0.975715,0.973158,0.971744,0.971808,0.972875,0.971503,0.975830,0.978881,0.971496,0.968709,0.969961
0.966756,0.972340,0.972894,0.971672,0.973512,0.971384,0.974125,0.969831,0.974157,0.970879,0.971580,0.971384,0.971484,0.969154,0.974023,0.975779,0.968990,0.968848,0.968910
0.964563,0.970392,0.970779,0.971616,0.971861,0.972362,0.972397,0.970146,0.972741,0.969156,0.970461,0.971855,0.970823,0.969103,0.974436,0.974705,0.969146,0.967384,0.973115
0.963317,0.971512,0.971356,0.970102,0.972786,0.971239,0.970987,0.966864,0.970901,0.968990,0.969212,0.969831,0.970753,0.966345,0.971699,0.973512,0.965231,0.965573,0.972214
0.964862,0.970879,0.969289,0.970214,0.970672,0.969356,0.973215,0.966928,0.971255,0.967434,0.967764,0.968607,0.969385,0.969511,0.971699,0.974108,0.967580,0.967594,0.970487
0.962819,0.968931,0.968809,0.969765,0.970870,0.969826,0.970487,0.965476,0.971538,0.968101,0.967731,0.967007,0.968889,0.967366,0.972680,0.971960,0.967110,0.968081,0.970036
0.963517,0.970100,0.969722,0.970494,0.972719,0.968812,0.971442,0.968695,0.972104,0.969823,0.967041,0.969455,0.971389,0.967264,0.975210,0.975421,0.965701,0.968918,0.973415
0.962819,0.969808,0.971212,0.970943,0.970474,0.970116,0.972351,0.970967,0.977485,0.971491,0.968751,0.970019,0.971956,0.969256,0.978567,0.986517,0.976351,0.977281,0.982577
0.964364,0.977599,0.979574,0.978740,0.977211,0.973050,0.981401,0.976079,0.991362,0.973658,0.972600,0.982774,0.984881,0.974414,0.991479,1.01826,0.994205,1.00404,1.00285
0.971740,1.00175,1.00721,0.999046,1.00192,0.988554,1.00568,0.998675,1.00927,0.982883,0.984540,0.991340,0.992594,0.982892,1.01684,1.04116,1.01363,1.01373,1.00916
0.983951,1.01427,1.01769,1.00275,1.00317,0.999638,1.02001,1.00776,1.01883,1.00083,0.997928,0.991622,0.991532,0.985803,1.03052,1.03818,1.01879,1.00369,0.996320
0.994518,1.01899,1.01451,0.998934,1.00020,1.00442,1.01846,1.00303,1.02407,1.01473,1.00783,0.989316,0.990235,0.985854,1.02314,1.03102,1.02177,0.993449,0.993467
1.00040,1.01695,1.00692,0.992988,0.994385,1.00127,1.01228,0.995961,1.02542,1.02156,1.00859,0.988563,0.987051,0.986109,1.01079,1.02219,1.02036,0.985086,0.986557
1.00399,1.01115,1.00312,0.988949,0.992007,0.998587,1.00391,0.989902,1.02351,1.01706,1.00668,0.984092,0.982617,0.985649,1.00279,1.01790,1.01848,0.971984,0.977771
1.00309,1.01105,1.00111,0.989847,0.991941,0.995617,1.00350,0.986998,1.01990,1.01028,1.00234,0.982915,0.981815,0.984730,0.999019,1.01647,1.01206,0.970102,0.972064
0.997159,1.00545,0.998943,0.990183,0.991347,0.994168,1.00291,0.986872,1.01692,1.00289,0.997698,0.984421,0.984032,0.983913,0.996953,1.01026,1.00673,0.970033,0.971989
0.990730,0.999854,0.998606,0.991586,0.991611,0.988517,0.997362,0.984726,1.00878,0.998944,0.993717,0.983621,0.985565,0.982126,0.993493,1.00585,0.995928,0.969196,0.970261
0.983303,0.988020,0.991157,0.987042,0.986525,0.982613,0.987449,0.978351,0.999080,0.990108,0.985099,0.980515,0.982003,0.977529,0.986727,1.00095,0.991386,0.966688,0.968384
0.976725,0.979693,0.987072,0.984911,0.980910,0.977361,0.978809,0.974817,0.989380,0.985217,0.979803,0.977550,0.980046,0.970890,0.981976,0.991409,0.982146,0.966409,0.970036
