Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.972763,0.977187,0.976735,0.976242,0.978858,0.976438,0.978472,0.976617,0.979510,0.977890,0.977056,0.975120,0.975281,0.978426,0.975693,0.976710,0.973893,0.977969,0.977503
0.971563,0.977776,0.975690,0.974804,0.976654,0.975233,0.976126,0.975416,0.976519,0.976975,0.975962,0.973128,0.972786,0.976930,0.976205,0.975863,0.974028,0.975528,0.975998
0.971919,0.976892,0.975733,0.975498,0.975761,0.975367,0.976908,0.975931,0.977283,0.977127,0.975415,0.974484,0.973771,0.976114,0.976950,0.978086,0.975643,0.979006,0.976477
0.970985,0.976050,0.972858,0.973911,0.974689,0.972957,0.975550,0.974730,0.975628,0.976416,0.974139,0.970796,0.971507,0.975570,0.975646,0.975757,0.973893,0.974979,0.974494
0.970674,0.975461,0.972945,0.975002,0.973021,0.972856,0.975838,0.973415,0.976201,0.975450,0.974200,0.970542,0.972178,0.975479,0.974761,0.974804,0.973893,0.975650,0.975451
0.970541,0.975756,0.974731,0.973713,0.973438,0.971752,0.975920,0.973701,0.975565,0.974992,0.974261,0.971135,0.971423,0.975298,0.975460,0.974592,0.973893,0.975589,0.973810
0.972007,0.978071,0.975123,0.975399,0.976416,0.975400,0.977114,0.974730,0.977346,0.976009,0.976418,0.973890,0.973604,0.976748,0.976624,0.976180,0.973759,0.977420,0.976545
0.971341,0.974787,0.973293,0.971977,0.974570,0.972555,0.976908,0.975359,0.976137,0.975856,0.974261,0.971814,0.972073,0.975525,0.975367,0.974381,0.974162,0.976626,0.974221
0.968853,0.974830,0.971856,0.972076,0.973557,0.972588,0.975303,0.972157,0.976201,0.975297,0.973379,0.970033,0.970941,0.975207,0.973783,0.975016,0.971740,0.974857,0.974494
0.968586,0.974872,0.972030,0.971878,0.973021,0.972722,0.975550,0.972443,0.974801,0.973976,0.973592,0.972195,0.972010,0.975434,0.975693,0.974910,0.972009,0.975040,0.975041
0.968275,0.975040,0.973424,0.973018,0.974808,0.973927,0.976290,0.972672,0.975438,0.975958,0.974717,0.972661,0.972157,0.976069,0.975460,0.972899,0.970394,0.974918,0.975178
0.968408,0.975545,0.972335,0.972771,0.974987,0.973827,0.975550,0.973358,0.975310,0.975043,0.974321,0.973000,0.972618,0.975026,0.976019,0.974275,0.972547,0.975955,0.974973
