Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.977887,0.978042,0.981221,0.979709,0.976570,0.973515,0.980769,0.972342,0.971332,0.973801,0.977735,0.980749,0.974984,0.971606,0.970693,0.979110,0.977398,0.979482
0.975144,0.975196,0.976874,0.977362,0.973423,0.970670,0.981584,0.971897,0.969776,0.974238,0.977074,0.978157,0.972483,0.970573,0.969297,0.977907,0.976178,0.977312
0.973547,0.974405,0.975135,0.975545,0.971762,0.969281,0.982317,0.971206,0.968220,0.974383,0.974943,0.978314,0.970919,0.971864,0.968948,0.974790,0.974056,0.977614
0.971846,0.973767,0.973744,0.976151,0.972636,0.968570,0.979221,0.971354,0.968376,0.973292,0.974723,0.977292,0.971701,0.966701,0.968308,0.973641,0.974533,0.976469
0.971846,0.973656,0.976526,0.975167,0.973904,0.968706,0.975391,0.970613,0.967753,0.972273,0.975163,0.978707,0.974359,0.974187,0.969297,0.975719,0.974480,0.976228
0.970944,0.973378,0.974439,0.971987,0.971631,0.967791,0.977265,0.971354,0.966664,0.974019,0.974061,0.978157,0.974672,0.969024,0.968541,0.974844,0.973260,0.974962
0.968895,0.971699,0.972527,0.971759,0.971063,0.966470,0.976532,0.969279,0.965458,0.972491,0.973914,0.976821,0.972796,0.968250,0.969297,0.973532,0.971668,0.974751
0.969381,0.971268,0.973222,0.972365,0.971106,0.965996,0.975636,0.969773,0.964836,0.972345,0.973914,0.977921,0.971388,0.970315,0.968715,0.973422,0.971827,0.974571
0.967854,0.971005,0.972005,0.970700,0.971412,0.966132,0.977591,0.967699,0.965264,0.970744,0.971636,0.976900,0.969199,0.968766,0.965866,0.972711,0.969811,0.973817
0.967923,0.971366,0.974265,0.969640,0.970451,0.967046,0.978080,0.968341,0.964680,0.971909,0.972812,0.976114,0.969981,0.966443,0.966564,0.972766,0.970554,0.973215
0.968757,0.972129,0.972179,0.970472,0.971631,0.965590,0.974984,0.968785,0.964991,0.970090,0.972224,0.976507,0.971545,0.969799,0.966157,0.973805,0.970607,0.973607
0.968895,0.971893,0.974961,0.971835,0.971937,0.965725,0.973680,0.967847,0.965458,0.971327,0.973253,0.979100,0.973265,0.970573,0.967029,0.974024,0.971668,0.974239
0.968479,0.971379,0.972179,0.968958,0.970363,0.966267,0.977265,0.967403,0.964369,0.970526,0.971857,0.976349,0.970450,0.967734,0.964703,0.973204,0.970660,0.972130
0.968132,0.969853,0.970788,0.970094,0.968003,0.964438,0.975799,0.965526,0.963436,0.970744,0.973106,0.976192,0.970450,0.966185,0.966622,0.970688,0.969758,0.973697
0.982608,0.972309,0.974091,0.975999,0.971937,0.966910,0.973191,0.968390,0.965575,0.970963,0.975237,0.976742,0.970138,0.969541,0.965517,0.973149,0.973313,0.974269
1.09637,0.998126,1.03373,1.04573,0.974166,0.989975,0.998126,0.965378,0.964836,0.986318,1.00419,1.00236,0.985303,0.993547,0.966099,0.979329,0.979361,0.983338
1.08536,1.03185,1.12120,1.09623,0.984963,1.03468,1.05020,0.968341,0.968298,1.00611,1.03042,1.03088,1.01923,1.01291,0.979357,0.991742,0.982810,0.999307
1.04159,1.02251,1.14154,1.07586,1.00061,1.04792,1.05394,0.982170,0.977206,1.01339,1.01624,1.03355,1.02830,1.00852,1.00285,1.00115,0.992997,1.00371
1.04312,1.01184,1.13511,1.05663,1.01744,1.04308,1.04311,1.00894,0.987747,1.00932,1.00867,1.02137,1.02236,1.00129,1.00459,1.01055,1.02525,1.00497
1.05093,1.01301,1.12989,1.05519,1.02653,1.03922,1.03455,1.03601,0.995371,0.999927,1.00941,1.00196,1.00907,0.999226,0.991975,1.01471,1.04982,1.00401
1.05426,1.01517,1.11946,1.05489,1.02583,1.03705,1.03496,1.04806,0.996032,0.988938,0.989566,0.984678,0.989525,0.989933,0.974414,1.01263,1.05597,1.00346
1.05627,1.01767,1.11807,1.05610,1.02596,1.03824,1.03594,1.05250,0.996499,0.980860,0.976339,0.978078,0.979518,0.978317,0.966448,1.00864,1.05046,1.00190
1.05447,1.01763,1.11546,1.05020,1.02015,1.03577,1.03211,1.04628,0.992609,0.977585,0.971196,0.974935,0.974046,0.971089,0.966680,1.00366,1.03942,1.00199
1.05363,1.01023,1.09737,1.04422,1.00992,1.02245,1.02844,1.03171,0.985296,0.973000,0.968109,0.973442,0.972952,0.967476,0.963773,0.995844,1.02579,0.998855
1.05100,0.998751,1.07668,1.02922,0.997771,1.00122,1.02265,1.01388,0.976311,0.969726,0.967595,0.972421,0.966073,0.964120,0.961738,0.989664,1.01035,0.992859
1.04322,0.992394,1.05756,1.01832,0.991957,0.989027,1.00970,0.999309,0.971721,0.970090,0.966713,0.972107,0.968574,0.969282,0.960400,0.985617,0.998196,0.989184
1.03048,0.990076,1.04347,1.00553,0.988766,0.981237,1.00187,0.990468,0.972265,0.970308,0.968183,0.974464,0.968730,0.970315,0.964470,0.985782,0.991829,0.986623
1.01215,0.985745,1.02973,0.997880,0.983695,0.977410,0.999593,0.984343,0.968570,0.970162,0.966493,0.974149,0.967323,0.966443,0.962784,0.981625,0.984508,0.982826
0.997223,0.981456,1.01774,0.990385,0.979193,0.975141,0.996822,0.979701,0.965614,0.966305,0.965391,0.972971,0.968105,0.965668,0.959121,0.977469,0.980794,0.980084
0.990939,0.981012,1.01235,0.988719,0.980155,0.972228,0.988347,0.976737,0.965925,0.968998,0.966272,0.973678,0.966698,0.968250,0.961854,0.977141,0.979414,0.979090
0.985975,0.980651,1.00539,0.988189,0.980155,0.971686,0.985006,0.974169,0.967053,0.969580,0.967007,0.974778,0.968574,0.966185,0.964005,0.977524,0.978247,0.977825
0.981636,0.977292,0.999478,0.986978,0.974997,0.969823,0.985169,0.971403,0.963552,0.967979,0.963039,0.972264,0.965447,0.960506,0.958714,0.975391,0.974905,0.976529
0.978199,0.975141,0.994262,0.982511,0.973248,0.965928,0.982725,0.970415,0.961335,0.966378,0.963774,0.970614,0.964196,0.962313,0.959353,0.973313,0.973950,0.975203
0.976741,0.975141,0.992175,0.979785,0.973685,0.965996,0.976206,0.969131,0.962502,0.967542,0.968183,0.973285,0.964978,0.964378,0.960749,0.972602,0.974905,0.975113
0.975491,0.975280,0.993045,0.977287,0.975259,0.965488,0.974006,0.970415,0.963163,0.968052,0.967375,0.973992,0.968887,0.967217,0.961621,0.972985,0.973790,0.975776
0.972054,0.973295,0.989915,0.974864,0.971237,0.964777,0.975228,0.966514,0.961685,0.967542,0.963480,0.971007,0.967167,0.961022,0.960574,0.972711,0.972676,0.973064
0.972332,0.974919,0.982959,0.975318,0.972243,0.965590,0.973924,0.966810,0.961296,0.965650,0.965097,0.971871,0.964196,0.961280,0.959470,0.972821,0.971774,0.973155
0.971638,0.975072,0.988350,0.975848,0.973860,0.966741,0.971480,0.967353,0.961568,0.967615,0.967081,0.973128,0.969043,0.963862,0.962610,0.974625,0.972039,0.972763
0.971881,0.974614,0.983655,0.975167,0.972024,0.966809,0.970420,0.966909,0.962619,0.967033,0.964729,0.974149,0.966854,0.967217,0.962203,0.973641,0.972676,0.973125
0.974137,0.972837,0.989393,0.972290,0.968309,0.962101,0.970583,0.962562,0.958106,0.977804,0.979425,0.993636,0.977799,0.970573,0.958656,0.969649,0.967795,0.969388
1.06408,1.00139,1.05738,1.00931,0.971369,0.982253,0.992829,0.963600,0.958262,1.00553,1.01999,1.02860,1.01485,1.00103,0.979066,0.978891,0.972358,0.978849
1.06835,1.02555,1.11650,1.06844,0.987979,1.02557,1.02828,0.970662,0.965575,1.01186,1.01903,1.03536,1.02142,1.00620,1.00238,0.988844,0.981059,0.990931
1.04048,1.01743,1.12919,1.07102,1.00927,1.04159,1.03488,0.994271,0.978800,1.01463,1.00191,1.02907,1.01376,0.999742,1.00413,0.997648,1.00891,0.995963
1.05193,1.01044,1.12867,1.06534,1.02028,1.04135,1.03349,1.02583,0.989420,1.00640,1.00382,1.01399,1.00625,0.991740,0.998197,1.00432,1.04388,0.997981
1.05718,1.01380,1.12207,1.05974,1.02579,1.03871,1.02461,1.05058,0.994165,0.993960,0.999118,0.994500,0.993433,0.992256,0.983718,1.00629,1.06160,0.997861
1.05481,1.01557,1.11459,1.05285,1.02645,1.03455,1.02436,1.06406,0.993815,0.984353,0.980528,0.979335,0.976079,0.980640,0.969588,1.00470,1.05990,0.995963
1.05079,1.01598,1.10850,1.04914,1.02443,1.03316,1.02542,1.06643,0.993621,0.976785,0.970093,0.972185,0.970763,0.970573,0.961505,1.00120,1.04844,0.995541
1.04957,1.01584,1.10068,1.04550,1.01836,1.03024,1.02412,1.06218,0.989186,0.972418,0.966787,0.969906,0.964509,0.964636,0.960574,1.00109,1.03847,0.993462
1.05124,1.01267,1.08677,1.04376,1.00839,1.02544,1.01695,1.05008,0.983507,0.970526,0.964582,0.970221,0.963727,0.965927,0.958423,0.995461,1.03093,0.991594
1.04735,1.00222,1.06451,1.03710,0.998995,1.01710,1.01491,1.03265,0.975222,0.966815,0.962745,0.969435,0.964978,0.965668,0.957667,0.989063,1.01772,0.986984
1.03701,0.993171,1.04764,1.02650,0.989903,1.00146,1.01059,1.01383,0.970710,0.966232,0.962451,0.967235,0.962008,0.965410,0.957783,0.983047,1.00345,0.982585
1.02215,0.987772,1.03286,1.01204,0.984220,0.987807,1.00179,0.997728,0.966547,0.966596,0.961276,0.969356,0.961538,0.962313,0.956271,0.979164,0.994748,0.979181
1.00705,0.984829,1.02313,1.00318,0.982996,0.980187,0.995192,0.991011,0.964369,0.967251,0.961863,0.971478,0.961695,0.964120,0.958481,0.978289,0.988062,0.978789
0.995730,0.982206,1.01495,0.994246,0.978843,0.973854,0.988999,0.982763,0.963008,0.964413,0.959879,0.971714,0.962008,0.964636,0.957958,0.975227,0.982757,0.975475
0.988891,0.980485,1.00991,0.988946,0.977051,0.971517,0.985495,0.978318,0.961179,0.965723,0.960100,0.971007,0.959506,0.962313,0.958074,0.973805,0.981112,0.973516
0.983684,0.978486,1.00209,0.987659,0.974428,0.968468,0.980769,0.975404,0.962152,0.966742,0.961129,0.970221,0.962320,0.962571,0.957202,0.973477,0.977663,0.973697
0.979518,0.975988,0.995479,0.982889,0.972549,0.967689,0.981014,0.971749,0.961413,0.965432,0.960394,0.969356,0.963102,0.959732,0.958597,0.972875,0.974480,0.972401
0.977991,0.975099,0.995479,0.981299,0.973379,0.965556,0.977754,0.970366,0.961141,0.965432,0.960908,0.971949,0.958724,0.960764,0.958539,0.971563,0.976072,0.972251
0.976220,0.974600,0.991654,0.981678,0.973598,0.964912,0.976287,0.969526,0.962152,0.964777,0.961937,0.970849,0.960757,0.961022,0.957841,0.971672,0.973472,0.972341
