Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.21100,0.670000,0.955456,0.969010,0.952135,0.983938,0.997862,0.984138,0.973643
3.21200,0.667000,0.951705,0.962407,0.951063,0.976462,0.988137,0.976893,0.968149
3.21100,0.669000,0.948879,0.958491,0.947846,0.970918,0.979240,0.967910,0.963323
3.21200,0.670000,0.946529,0.956146,0.948319,0.967117,0.972826,0.963212,0.963991
3.21100,0.671000,0.944392,0.955075,0.947184,0.964012,0.967618,0.958682,0.962061
3.21200,0.670000,0.941376,0.951888,0.945418,0.959450,0.962239,0.957035,0.960353
3.21200,0.673000,0.942635,0.950795,0.945734,0.957454,0.960790,0.958087,0.960205
3.21200,0.669000,0.941210,0.950772,0.945009,0.953906,0.957273,0.957798,0.957829
3.21300,0.670000,0.939572,0.950658,0.943180,0.950485,0.954514,0.957782,0.956344
3.21100,0.669000,0.939310,0.948859,0.943905,0.949661,0.954031,0.957157,0.956270
3.21200,0.669000,0.938622,0.948837,0.943180,0.947855,0.951342,0.956105,0.954785
3.21100,0.670000,0.936936,0.947698,0.940279,0.947602,0.950652,0.953969,0.954562
3.21300,0.670000,0.937363,0.946263,0.939490,0.946525,0.951100,0.953420,0.953449
3.21200,0.672000,0.936509,0.945717,0.938513,0.945511,0.950410,0.953603,0.953671
3.21200,0.673000,0.935939,0.945034,0.937189,0.944434,0.949134,0.952627,0.952038
3.21200,0.672000,0.937126,0.945125,0.936684,0.944402,0.948824,0.950965,0.953746
3.21200,0.674000,0.935559,0.946400,0.937283,0.944497,0.949341,0.950904,0.955973
3.21200,3.84900,0.935701,0.945171,0.934824,0.943135,0.948790,0.949058,0.952929
3.21000,7.76800,0.935939,0.944624,0.936779,0.943642,0.948514,0.949836,0.953671
3.21000,10.7730,0.936604,0.945740,0.936306,0.943357,0.949272,0.950644,0.951593
3.20900,13.1810,0.936794,0.945535,0.937788,0.943515,0.947134,0.952048,0.949217
3.21000,11.5380,0.937387,0.945398,0.938765,0.944466,0.949031,0.952688,0.953523
3.21100,1.38800,0.937720,0.945968,0.936842,0.944307,0.947583,0.950400,0.951741
3.21100,0.776000,0.936912,0.943212,0.935360,0.943262,0.947169,0.948113,0.951073
3.21200,0.721000,0.937458,0.945239,0.935927,0.944339,0.948445,0.949211,0.953003
3.21200,0.721000,0.937031,0.944966,0.935517,0.943167,0.948928,0.948280,0.952483
3.21300,0.721000,0.934870,0.943486,0.936589,0.943167,0.947238,0.948113,0.948994
3.21200,0.716000,0.935322,0.943144,0.936400,0.943135,0.947307,0.947899,0.947658
3.21200,0.717000,0.934277,0.943736,0.935675,0.942185,0.946410,0.949058,0.948771
3.21200,0.716000,0.934395,0.942848,0.937882,0.940917,0.946652,0.949455,0.949142
3.21300,0.717000,0.934657,0.941573,0.935171,0.939619,0.944996,0.950339,0.950108
3.21200,0.717000,0.934229,0.942119,0.933941,0.939872,0.944410,0.951041,0.949514
3.21400,0.717000,0.933541,0.941345,0.934508,0.939587,0.945376,0.949028,0.951444
3.21200,0.718000,0.933992,0.941960,0.933909,0.938035,0.943444,0.948845,0.948400
3.21300,0.717000,0.933754,0.940730,0.931576,0.939809,0.943065,0.947045,0.949142
3.21200,0.723000,0.933256,0.940116,0.931324,0.938542,0.941824,0.946130,0.948252
3.21400,0.717000,0.931617,0.938658,0.930189,0.937053,0.941582,0.944025,0.946395
3.21200,0.717000,0.932235,0.938089,0.931261,0.936514,0.942341,0.943293,0.944094
3.21300,0.709000,0.931332,0.938066,0.930252,0.938161,0.941444,0.942027,0.942163
3.21300,0.710000,0.930501,0.937793,0.930693,0.938098,0.942237,0.941081,0.944985
3.21300,0.710000,0.931974,0.938112,0.931544,0.937876,0.942375,0.942271,0.943574
3.21300,0.715000,0.930573,0.938112,0.930441,0.938637,0.941617,0.940990,0.945727
